Date,Number,WinNumber,Premium
2022-08-05,"03,09,15,16,28,30 + 04","01,04,25,27,29,30 + 07",0.0
2022-08-05,"05,07,08,15,17,29 + 16","01,04,25,27,29,30 + 07",0.0
2022-08-05,"05,07,09,20,28,33 + 15","01,04,25,27,29,30 + 07",0.0
2022-08-05,"02,06,07,08,17,18 + 07","01,04,25,27,29,30 + 07",5.0
2022-08-05,"03,07,18,22,25,27 + 06","01,04,25,27,29,30 + 07",0.0
2022-08-09,"14,16,18,22,25,27 + 06","08,18,20,22,24,28 + 10",0.0
2022-08-09,"03,05,13,21,25,28 + 03","08,18,20,22,24,28 + 10",0.0
2022-08-09,"02,06,07,08,17,18 + 07","08,18,20,22,24,28 + 10",0.0
2022-08-09,"03,07,18,22,25,27 + 06","08,18,20,22,24,28 + 10",0.0
2022-08-10,"06,17,20,23,32,33 + 01","07,10,16,20,21,27 + 11",0.0
2022-08-10,"03,07,22,26,27,32 + 08","07,10,16,20,21,27 + 11",0.0
2022-08-10,"02,06,07,08,17,18 + 07","07,10,16,20,21,27 + 11",0.0
2022-08-10,"03,07,18,22,25,27 + 06","07,10,16,20,21,27 + 11",0.0
2022-08-12,"04,09,18,25,31,32 + 01","21,22,24,28,29,32 + 14",0.0
2022-08-12,"02,10,11,14,31,33 + 03","21,22,24,28,29,32 + 14",0.0
2022-08-12,"01,10,15,19,26,30 + 04","21,22,24,28,29,32 + 14",0.0
2022-08-12,"02,06,07,08,17,18 + 07","21,22,24,28,29,32 + 14",0.0
2022-08-12,"03,07,18,22,25,27 + 06","21,22,24,28,29,32 + 14",0.0
2022-08-15,"02,04,10,18,22,29 + 04","06,11,13,16,19,31 + 02",0.0
2022-08-15,"02,03,11,21,22,31 + 06","06,11,13,16,19,31 + 02",0.0
2022-08-15,"02,06,07,08,17,18 + 07","06,11,13,16,19,31 + 02",0.0
2022-08-15,"03,07,18,22,25,27 + 06","06,11,13,16,19,31 + 02",0.0
2022-08-18,"03,04,06,15,25,28 + 06","04,13,14,18,20,28 + 08",0.0
2022-08-18,"02,06,07,10,12,16 + 08","04,13,14,18,20,28 + 08",5.0
2022-08-18,"02,06,07,08,17,18 + 07","04,13,14,18,20,28 + 08",0.0
2022-08-18,"03,07,18,22,25,27 + 06","04,13,14,18,20,28 + 08",0.0
2022-08-20,"11,12,18,19,32,33 + 10","03,16,17,19,25,33 + 07",0.0
2022-08-20,"11,13,17,24,25,33 + 03","03,16,17,19,25,33 + 07",0.0
2022-08-20,"02,06,17,26,27,32 + 11","03,16,17,19,25,33 + 07",0.0
2022-08-20,"02,06,07,08,17,18 + 07","03,16,17,19,25,33 + 07",5.0
2022-08-20,"03,07,18,22,25,27 + 06","03,16,17,19,25,33 + 07",0.0
2022-08-22,"05,09,22,25,31,32 + 10",,
2022-08-22,"03,09,17,19,24,33 + 15",,
2022-08-22,"02,06,07,08,17,18 + 07",,
2022-08-22,"03,07,18,22,25,27 + 06",,
